result_id,compound_id,experiment_type,result_value,unit,result_date,technician,pass_fail
LAB-00999,CMP-0145,Cell Viability Assay,5.4,% viability,2024-04-11,Wesley Jensen MD,Pass
LAB-01000,CMP-0077,Metabolic Stability (Microsomal),33.2,min (t1/2),2026-08-15,Alfred Williams,Pass
LAB-01001,CMP-0105,Metabolic Stability (Microsomal),15.3,min (t1/2),2026-01-21,Patrick Johnson,Pass
LAB-01002,CMP-0008,hERG Cardiotoxicity Screen,59.3,% inhibition at 10uM,2026-04-11,Brent Reed,Pass
LAB-01003,CMP-0078,Enzymatic Inhibition Assay,6.77,nM (IC50),2024-02-21,Matthew Wright,Pass
LAB-01004,CMP-0038,Pharmacokinetic (PK) Study,19.76,hours (t1/2),2025-04-21,Susan Jones,Pass
LAB-01005,CMP-0091,Selectivity Panel,49.3,% selectivity,2023-12-07,Alejandro Nguyen,Fail
LAB-01006,CMP-0071,hERG Cardiotoxicity Screen,50.8,% inhibition at 10uM,2024-07-21,Laura Valenzuela,Fail
LAB-01007,CMP-0037,Binding Affinity (SPR),0.61,nM (Kd),2023-10-12,Leah Odom,Pass
LAB-01008,CMP-0057,Enzymatic Inhibition Assay,2.18,nM (IC50),2024-03-22,Kenneth Stokes,Pass
LAB-01009,CMP-0023,Enzymatic Inhibition Assay,1.5,nM (IC50),2023-02-11,Gabriella Shaw,Pass
LAB-01010,CMP-0130,Cell Viability Assay,74.8,% viability,2025-10-08,Lucas Cox,Pass
LAB-01011,CMP-0142,Metabolic Stability (Microsomal),99.3,min (t1/2),2024-06-15,Ryan Cobb PhD,Pass
LAB-01012,CMP-0088,Metabolic Stability (Microsomal),34.1,min (t1/2),2024-11-08,Anthony Davies,Pass
LAB-01013,CMP-0108,Binding Affinity (SPR),4.04,nM (Kd),2024-04-26,Patrick Davis,Pass
LAB-01014,CMP-0116,Cell Viability Assay,19.4,% viability,2026-02-01,George Jones,Pass
LAB-01015,CMP-0006,hERG Cardiotoxicity Screen,1.5,% inhibition at 10uM,2025-11-30,Daniel Flynn,Pass
LAB-01016,CMP-0074,Solubility Assay,1.0,mg/mL,2025-04-26,Robert Reynolds,Pass
LAB-01017,CMP-0113,hERG Cardiotoxicity Screen,24.9,% inhibition at 10uM,2024-11-14,James Weber,Pass
LAB-01018,CMP-0121,Binding Affinity (SPR),1.22,nM (Kd),2024-07-10,Catherine Smith,Pass
LAB-01019,CMP-0143,Metabolic Stability (Microsomal),115.5,min (t1/2),2025-07-10,Laura Lewis,Pass
LAB-01020,CMP-0004,hERG Cardiotoxicity Screen,91.5,% inhibition at 10uM,2026-07-23,Julie Giles,Fail
LAB-01021,CMP-0024,Cell Viability Assay,92.6,% viability,2024-11-03,Patricia Hamilton,Pass
LAB-01022,CMP-0129,hERG Cardiotoxicity Screen,21.3,% inhibition at 10uM,2024-12-22,Kelly Diaz,Pass
LAB-01023,CMP-0055,Cell Viability Assay,44.7,% viability,2023-04-21,Michael Evans,Pass
LAB-01024,CMP-0125,hERG Cardiotoxicity Screen,35.2,% inhibition at 10uM,2024-06-14,Ronald Brown,Pass
LAB-01025,CMP-0070,hERG Cardiotoxicity Screen,39.4,% inhibition at 10uM,2023-07-12,Rodney Lucas,Pass
LAB-01026,CMP-0103,Metabolic Stability (Microsomal),167.3,min (t1/2),2023-09-27,Jennifer Wilson,Pass
LAB-01027,CMP-0012,Binding Affinity (SPR),2.18,nM (Kd),2023-06-25,Ronald Marshall,Pass
LAB-01028,CMP-0104,Selectivity Panel,85.0,% selectivity,2024-12-13,Matthew Johnson,Pass
LAB-01029,CMP-0079,Enzymatic Inhibition Assay,1.74,nM (IC50),2023-05-08,David Lara,Pass
LAB-01030,CMP-0081,hERG Cardiotoxicity Screen,56.4,% inhibition at 10uM,2025-05-06,Samuel Stuart,Fail
LAB-01031,CMP-0060,Binding Affinity (SPR),0.49,nM (Kd),2024-08-27,Scott Miller,Pass
LAB-01032,CMP-0038,Binding Affinity (SPR),0.38,nM (Kd),2025-02-12,Stephanie Russell,Pass
LAB-01033,CMP-0030,Metabolic Stability (Microsomal),80.4,min (t1/2),2024-03-01,Ann Hahn,Pass
LAB-01034,CMP-0047,Enzymatic Inhibition Assay,1.72,nM (IC50),2025-08-10,Brian Navarro,Pass
LAB-01035,CMP-0148,hERG Cardiotoxicity Screen,82.2,% inhibition at 10uM,2026-06-11,Sandra Herring,Pass
LAB-01036,CMP-0073,Cell Viability Assay,32.4,% viability,2026-06-09,Stephen Young,Pass
LAB-01037,CMP-0065,Solubility Assay,0.74,mg/mL,2023-03-15,Erin Silva,Fail
LAB-01038,CMP-0104,Pharmacokinetic (PK) Study,14.0,hours (t1/2),2024-04-09,Cynthia Henderson,Pass
LAB-01039,CMP-0147,Solubility Assay,1.0,mg/mL,2023-04-16,Wayne Gonzales,Fail
LAB-01040,CMP-0095,hERG Cardiotoxicity Screen,28.2,% inhibition at 10uM,2023-09-24,Katherine Brooks,Fail
LAB-01041,CMP-0075,Binding Affinity (SPR),16.56,nM (Kd),2026-07-04,Jeff Vega,Pass
LAB-01042,CMP-0065,Binding Affinity (SPR),0.41,nM (Kd),2026-07-25,Taylor Cox,Pass
LAB-01043,CMP-0010,Binding Affinity (SPR),1.27,nM (Kd),2025-07-28,Alisha Rasmussen,Pass
LAB-01044,CMP-0114,Binding Affinity (SPR),2.33,nM (Kd),2025-02-18,Mary Everett,Pass
LAB-01045,CMP-0146,Binding Affinity (SPR),1.39,nM (Kd),2025-06-22,Cynthia Tran,Pass
LAB-01046,CMP-0083,Solubility Assay,1.18,mg/mL,2023-12-13,Heidi Burnett,Fail
LAB-01047,CMP-0044,Cell Viability Assay,77.7,% viability,2023-03-15,Shannon Price,Fail
LAB-01048,CMP-0055,Cell Viability Assay,33.8,% viability,2026-05-08,William Scott,Pass
LAB-01049,CMP-0006,Selectivity Panel,96.5,% selectivity,2023-01-27,Cynthia Clark,Pass
LAB-01050,CMP-0094,Enzymatic Inhibition Assay,4.37,nM (IC50),2026-04-09,Lynn Suarez,Pass
LAB-01051,CMP-0115,Solubility Assay,0.58,mg/mL,2025-10-11,Andrew Delacruz,Pass
LAB-01052,CMP-0045,Selectivity Panel,2.6,% selectivity,2026-01-01,Kaitlin Gutierrez,Pass
LAB-01053,CMP-0149,hERG Cardiotoxicity Screen,92.3,% inhibition at 10uM,2026-01-28,Sherri Wilkins,Pass
LAB-01054,CMP-0005,hERG Cardiotoxicity Screen,5.9,% inhibition at 10uM,2026-01-03,Katie Bell,Pass
LAB-01055,CMP-0028,Pharmacokinetic (PK) Study,13.69,hours (t1/2),2025-02-13,Nancy Chavez,Fail
LAB-01056,CMP-0135,Metabolic Stability (Microsomal),23.8,min (t1/2),2022-10-27,Martin Mccoy,Pass
LAB-01057,CMP-0087,Enzymatic Inhibition Assay,8.89,nM (IC50),2025-11-15,James Fuller,Pass
LAB-01058,CMP-0063,Metabolic Stability (Microsomal),85.3,min (t1/2),2023-12-20,Christopher Black,Pass
LAB-01059,CMP-0034,Pharmacokinetic (PK) Study,2.78,hours (t1/2),2026-08-03,Pamela Bradford,Pass
LAB-01060,CMP-0095,Cell Viability Assay,43.5,% viability,2025-06-15,Emma Mendoza,Pass
LAB-01061,CMP-0149,Selectivity Panel,47.2,% selectivity,2025-08-26,Michael Serrano,Pass
LAB-01062,CMP-0038,Enzymatic Inhibition Assay,11.27,nM (IC50),2025-11-28,Jason White,Fail
LAB-01063,CMP-0123,Binding Affinity (SPR),0.22,nM (Kd),2026-03-20,Stacey Walker,Pass
LAB-01064,CMP-0101,Cell Viability Assay,84.9,% viability,2026-07-03,Maria Sims,Pass
LAB-01065,CMP-0103,hERG Cardiotoxicity Screen,29.6,% inhibition at 10uM,2026-05-03,Christina Haynes,Fail
LAB-01066,CMP-0053,hERG Cardiotoxicity Screen,69.9,% inhibition at 10uM,2023-05-22,Jeffrey Green,Pass
LAB-01067,CMP-0072,Selectivity Panel,39.0,% selectivity,2023-01-26,Travis Wilson,Pass
LAB-01068,CMP-0020,Solubility Assay,3.75,mg/mL,2025-08-02,Thomas Chavez,Pass
LAB-01069,CMP-0009,Selectivity Panel,29.9,% selectivity,2025-05-28,Micheal Lee,Pass
LAB-01070,CMP-0031,Metabolic Stability (Microsomal),146.2,min (t1/2),2026-02-27,Donna Snyder,Pass
LAB-01071,CMP-0138,Solubility Assay,2.75,mg/mL,2023-03-27,Lindsay Carney,Pass
LAB-01072,CMP-0025,Metabolic Stability (Microsomal),157.3,min (t1/2),2023-11-05,Jennifer Ortiz,Pass
LAB-01073,CMP-0021,Pharmacokinetic (PK) Study,13.69,hours (t1/2),2023-04-19,Dennis Williamson,Pass
LAB-01074,CMP-0111,Binding Affinity (SPR),0.35,nM (Kd),2026-05-04,Michael Ellis,Pass
LAB-01075,CMP-0111,hERG Cardiotoxicity Screen,2.2,% inhibition at 10uM,2022-10-03,Frank Steele,Pass
LAB-01076,CMP-0137,Metabolic Stability (Microsomal),84.9,min (t1/2),2025-06-16,Michelle Fitzgerald,Pass
LAB-01077,CMP-0150,Binding Affinity (SPR),0.72,nM (Kd),2023-09-27,Anthony Cook,Fail
LAB-01078,CMP-0137,Pharmacokinetic (PK) Study,13.45,hours (t1/2),2023-08-26,Yesenia Crosby,Pass
LAB-01079,CMP-0135,Enzymatic Inhibition Assay,0.47,nM (IC50),2026-07-31,Nicole Williams,Fail
LAB-01080,CMP-0124,Selectivity Panel,74.5,% selectivity,2023-09-23,Elizabeth Foster,Fail
LAB-01081,CMP-0084,Solubility Assay,0.78,mg/mL,2024-03-12,Kristin Carpenter,Pass
LAB-01082,CMP-0137,hERG Cardiotoxicity Screen,42.9,% inhibition at 10uM,2023-10-03,Tara Humphrey,Pass
LAB-01083,CMP-0045,Enzymatic Inhibition Assay,0.85,nM (IC50),2023-03-29,Joseph Thomas,Pass
LAB-01084,CMP-0108,Pharmacokinetic (PK) Study,16.98,hours (t1/2),2023-03-07,Carl Savage,Fail
LAB-01085,CMP-0095,hERG Cardiotoxicity Screen,64.2,% inhibition at 10uM,2026-01-18,Tammy Campbell,Pass
LAB-01086,CMP-0133,Cell Viability Assay,7.1,% viability,2026-03-21,Pam Baker,Pass
LAB-01087,CMP-0061,Solubility Assay,4.14,mg/mL,2023-12-18,Emily Vang,Pass
LAB-01088,CMP-0112,Solubility Assay,3.11,mg/mL,2025-10-06,Samuel Sandoval,Pass
LAB-01089,CMP-0074,hERG Cardiotoxicity Screen,92.0,% inhibition at 10uM,2025-11-26,Charles Hall,Pass
LAB-01090,CMP-0100,Metabolic Stability (Microsomal),17.1,min (t1/2),2022-11-09,Michael Graham,Fail
LAB-01091,CMP-0039,Binding Affinity (SPR),0.56,nM (Kd),2026-09-09,Amanda Kelly,Pass
LAB-01092,CMP-0125,Pharmacokinetic (PK) Study,22.12,hours (t1/2),2025-07-19,Mr. Ryan Camacho,Pass
LAB-01093,CMP-0057,hERG Cardiotoxicity Screen,21.4,% inhibition at 10uM,2023-03-17,Sean White,Pass
LAB-01094,CMP-0068,Selectivity Panel,13.7,% selectivity,2023-05-21,Denise Macdonald,Pass
LAB-01095,CMP-0046,Selectivity Panel,31.7,% selectivity,2025-01-20,Valerie Fox,Pass
LAB-01096,CMP-0100,Metabolic Stability (Microsomal),137.4,min (t1/2),2024-12-29,Billy Tate,Pass
LAB-01097,CMP-0058,Selectivity Panel,56.3,% selectivity,2025-06-02,Allison Maldonado,Pass
LAB-01098,CMP-0069,Pharmacokinetic (PK) Study,14.18,hours (t1/2),2025-06-07,Kevin Bean,Pass
LAB-01099,CMP-0146,Solubility Assay,1.08,mg/mL,2026-01-21,Brad Rivas,Pass
LAB-01100,CMP-0093,Metabolic Stability (Microsomal),174.0,min (t1/2),2025-05-07,Tyler Wheeler,Pass
LAB-01101,CMP-0047,Cell Viability Assay,49.9,% viability,2022-09-26,Mary Tapia,Fail
LAB-01102,CMP-0019,Solubility Assay,0.33,mg/mL,2024-01-05,Morgan Bernard,Pass
LAB-01103,CMP-0031,Solubility Assay,2.32,mg/mL,2024-12-26,Anthony Schneider,Pass
LAB-01104,CMP-0150,hERG Cardiotoxicity Screen,93.9,% inhibition at 10uM,2024-01-02,Benjamin Crane,Pass
LAB-01105,CMP-0079,Metabolic Stability (Microsomal),58.8,min (t1/2),2024-03-27,Christopher Hanna,Pass
LAB-01106,CMP-0032,Selectivity Panel,73.8,% selectivity,2026-03-04,Samuel Martin,Pass
LAB-01107,CMP-0141,Solubility Assay,0.02,mg/mL,2025-10-30,Paul Valdez,Pass
LAB-01108,CMP-0134,Selectivity Panel,26.0,% selectivity,2023-03-13,Jeffrey Drake MD,Pass
LAB-01109,CMP-0024,Pharmacokinetic (PK) Study,18.67,hours (t1/2),2025-06-14,Max Collier,Pass
LAB-01110,CMP-0017,Pharmacokinetic (PK) Study,19.39,hours (t1/2),2024-10-05,Stephen Alvarez MD,Pass
LAB-01111,CMP-0127,hERG Cardiotoxicity Screen,41.8,% inhibition at 10uM,2024-05-27,Rita Austin,Pass
LAB-01112,CMP-0084,Cell Viability Assay,45.3,% viability,2024-06-12,Andrew Peterson,Fail
LAB-01113,CMP-0005,Metabolic Stability (Microsomal),53.4,min (t1/2),2024-07-25,Michael Moore,Fail
LAB-01114,CMP-0008,Cell Viability Assay,12.1,% viability,2024-09-10,Kelly Roberts,Pass
LAB-01115,CMP-0009,Selectivity Panel,28.9,% selectivity,2024-06-17,Karen Hernandez,Pass
LAB-01116,CMP-0108,Enzymatic Inhibition Assay,15.28,nM (IC50),2023-03-23,Sarah Mills,Pass
LAB-01117,CMP-0023,Cell Viability Assay,12.8,% viability,2023-11-23,Billy Williams,Fail
LAB-01118,CMP-0059,Pharmacokinetic (PK) Study,14.39,hours (t1/2),2023-02-22,Brandon Guerrero,Fail
LAB-01119,CMP-0053,Metabolic Stability (Microsomal),80.8,min (t1/2),2024-12-25,David Miller,Pass
LAB-01120,CMP-0129,Binding Affinity (SPR),1.36,nM (Kd),2024-09-22,Matthew White,Pass
LAB-01121,CMP-0062,Selectivity Panel,70.2,% selectivity,2023-06-11,Bradley Mcdowell,Pass
LAB-01122,CMP-0057,Pharmacokinetic (PK) Study,23.59,hours (t1/2),2023-11-26,Jordan Santiago,Pass
LAB-01123,CMP-0116,Pharmacokinetic (PK) Study,6.9,hours (t1/2),2025-03-16,Vincent Savage,Fail
LAB-01124,CMP-0020,Solubility Assay,2.29,mg/mL,2023-06-18,Paul Munoz,Pass
LAB-01125,CMP-0072,Solubility Assay,6.69,mg/mL,2026-03-13,Joseph Smith,Pass
LAB-01126,CMP-0137,Selectivity Panel,82.0,% selectivity,2023-03-07,John Holt,Pass
LAB-01127,CMP-0139,hERG Cardiotoxicity Screen,19.0,% inhibition at 10uM,2026-03-09,Lindsay Tucker,Pass
LAB-01128,CMP-0036,Pharmacokinetic (PK) Study,3.89,hours (t1/2),2025-03-09,Heather Nunez,Pass
LAB-01129,CMP-0120,Pharmacokinetic (PK) Study,2.81,hours (t1/2),2025-06-21,Eric Martinez,Pass
LAB-01130,CMP-0033,Selectivity Panel,32.1,% selectivity,2022-10-08,Alan Waller,Pass
LAB-01131,CMP-0104,Metabolic Stability (Microsomal),9.6,min (t1/2),2026-02-23,Matthew Santos,Pass
LAB-01132,CMP-0100,hERG Cardiotoxicity Screen,95.3,% inhibition at 10uM,2024-06-15,Rachel Lee,Pass
LAB-01133,CMP-0118,Selectivity Panel,46.7,% selectivity,2023-12-01,John Johnson,Pass
LAB-01134,CMP-0006,Cell Viability Assay,45.5,% viability,2023-05-18,Michael Maynard,Pass
LAB-01135,CMP-0023,Solubility Assay,0.43,mg/mL,2024-08-06,Lauren Harris,Pass
LAB-01136,CMP-0075,Pharmacokinetic (PK) Study,17.83,hours (t1/2),2024-12-27,Amber Smith,Pass
LAB-01137,CMP-0046,Enzymatic Inhibition Assay,2.41,nM (IC50),2025-03-26,Veronica Allison,Pass
LAB-01138,CMP-0018,Pharmacokinetic (PK) Study,6.62,hours (t1/2),2025-08-29,Kristen Roberts,Pass
LAB-01139,CMP-0096,Selectivity Panel,30.7,% selectivity,2024-08-29,Mr. Logan Gregory,Pass
LAB-01140,CMP-0071,Selectivity Panel,85.5,% selectivity,2025-12-23,Miguel Rice MD,Pass
LAB-01141,CMP-0058,Selectivity Panel,97.0,% selectivity,2023-12-23,Steven Butler,Pass
LAB-01142,CMP-0097,Metabolic Stability (Microsomal),69.8,min (t1/2),2024-08-09,Todd Reed DDS,Pass
LAB-01143,CMP-0041,Binding Affinity (SPR),0.79,nM (Kd),2022-10-18,Corey Cooper,Pass
LAB-01144,CMP-0084,Solubility Assay,0.25,mg/mL,2023-08-22,Terry Morgan,Fail
LAB-01145,CMP-0016,Metabolic Stability (Microsomal),96.8,min (t1/2),2025-02-13,Mary Anderson,Pass
LAB-01146,CMP-0103,Pharmacokinetic (PK) Study,11.93,hours (t1/2),2023-11-20,Toni Whitaker,Pass
LAB-01147,CMP-0068,Metabolic Stability (Microsomal),79.6,min (t1/2),2025-05-27,Rebecca Marsh,Pass
LAB-01148,CMP-0053,Binding Affinity (SPR),2.92,nM (Kd),2026-02-02,Diane Curry,Pass
LAB-01149,CMP-0082,Metabolic Stability (Microsomal),74.6,min (t1/2),2025-05-18,Curtis Obrien,Pass
LAB-01150,CMP-0117,hERG Cardiotoxicity Screen,77.5,% inhibition at 10uM,2023-02-12,Xavier Torres,Pass
LAB-01151,CMP-0091,hERG Cardiotoxicity Screen,9.1,% inhibition at 10uM,2023-07-20,Albert Ibarra,Pass
LAB-01152,CMP-0073,Cell Viability Assay,53.9,% viability,2024-02-21,Ronald Kline,Fail
LAB-01153,CMP-0144,hERG Cardiotoxicity Screen,70.7,% inhibition at 10uM,2022-11-03,Jeffrey Williamson,Fail
LAB-01154,CMP-0097,Selectivity Panel,60.2,% selectivity,2023-03-13,David Peterson,Pass
LAB-01155,CMP-0113,hERG Cardiotoxicity Screen,47.2,% inhibition at 10uM,2024-02-18,Shawn Adams,Pass
LAB-01156,CMP-0062,Selectivity Panel,96.3,% selectivity,2023-04-26,Kaylee Caldwell,Fail
LAB-01157,CMP-0061,Enzymatic Inhibition Assay,2.6,nM (IC50),2025-07-15,Jessica Bryant,Fail
LAB-01158,CMP-0132,Enzymatic Inhibition Assay,5.76,nM (IC50),2026-01-28,Brian Bishop,Fail
LAB-01159,CMP-0110,Cell Viability Assay,80.4,% viability,2025-11-02,Samantha Williams,Pass
LAB-01160,CMP-0117,Pharmacokinetic (PK) Study,0.73,hours (t1/2),2023-02-18,Shelby Bartlett,Pass
LAB-01161,CMP-0001,Enzymatic Inhibition Assay,2.61,nM (IC50),2023-05-05,Jeremy Hunter,Pass
LAB-01162,CMP-0124,Pharmacokinetic (PK) Study,19.58,hours (t1/2),2025-08-22,Matthew Cook,Fail
LAB-01163,CMP-0132,Binding Affinity (SPR),4.46,nM (Kd),2023-04-07,Jessica Perry,Pass
LAB-01164,CMP-0031,hERG Cardiotoxicity Screen,90.6,% inhibition at 10uM,2025-10-14,Robert Peterson,Pass
LAB-01165,CMP-0032,Selectivity Panel,62.9,% selectivity,2024-09-24,Jaime Fischer,Pass
LAB-01166,CMP-0026,Selectivity Panel,34.4,% selectivity,2024-02-26,Brittany Molina,Pass
LAB-01167,CMP-0092,Enzymatic Inhibition Assay,3.98,nM (IC50),2024-05-25,Robert Gutierrez,Pass
LAB-01168,CMP-0059,Pharmacokinetic (PK) Study,15.93,hours (t1/2),2024-05-07,Samuel Norton,Fail
LAB-01169,CMP-0096,Metabolic Stability (Microsomal),160.6,min (t1/2),2024-02-28,Charles Smith,Fail
LAB-01170,CMP-0096,Selectivity Panel,89.4,% selectivity,2025-12-08,Angela Edwards,Fail
LAB-01171,CMP-0124,hERG Cardiotoxicity Screen,32.7,% inhibition at 10uM,2026-08-21,Antonio Malone,Pass
LAB-01172,CMP-0108,Enzymatic Inhibition Assay,6.75,nM (IC50),2025-05-08,Stephanie Brown,Fail
LAB-01173,CMP-0020,Binding Affinity (SPR),2.5,nM (Kd),2025-03-28,Mary Meyer,Pass
LAB-01174,CMP-0137,Selectivity Panel,42.9,% selectivity,2023-11-23,Michael Spencer,Pass
LAB-01175,CMP-0043,Enzymatic Inhibition Assay,15.61,nM (IC50),2023-12-06,Susan Smith,Fail
LAB-01176,CMP-0136,Cell Viability Assay,38.7,% viability,2023-10-31,Tami Graves,Pass
LAB-01177,CMP-0090,Binding Affinity (SPR),1.66,nM (Kd),2024-06-30,Joshua Kramer,Pass
LAB-01178,CMP-0100,hERG Cardiotoxicity Screen,70.8,% inhibition at 10uM,2025-04-26,Stacy Harrington,Pass
LAB-01179,CMP-0108,Pharmacokinetic (PK) Study,23.86,hours (t1/2),2024-04-30,Eric Johnson,Pass
LAB-01180,CMP-0148,Enzymatic Inhibition Assay,5.7,nM (IC50),2024-01-19,Natalie Martinez,Pass
LAB-01181,CMP-0097,Cell Viability Assay,58.7,% viability,2026-09-05,Brandon Arnold,Pass
LAB-01182,CMP-0047,hERG Cardiotoxicity Screen,49.4,% inhibition at 10uM,2024-10-18,Caitlin Johnson,Fail
LAB-01183,CMP-0042,Enzymatic Inhibition Assay,66.31,nM (IC50),2025-11-24,Daisy Schroeder,Pass
LAB-01184,CMP-0143,Binding Affinity (SPR),3.27,nM (Kd),2025-08-13,Mrs. Amy Watson,Pass
LAB-01185,CMP-0031,Binding Affinity (SPR),0.45,nM (Kd),2025-03-21,Anthony Curtis,Pass
LAB-01186,CMP-0047,Solubility Assay,7.49,mg/mL,2023-03-19,Norman Chavez,Fail
LAB-01187,CMP-0026,hERG Cardiotoxicity Screen,30.2,% inhibition at 10uM,2026-08-23,Virginia Cunningham,Pass
LAB-01188,CMP-0042,Metabolic Stability (Microsomal),28.5,min (t1/2),2026-04-15,Kim Larson,Pass
LAB-01189,CMP-0039,Enzymatic Inhibition Assay,1.22,nM (IC50),2024-02-11,Richard Espinoza,Pass
LAB-01190,CMP-0015,Selectivity Panel,57.5,% selectivity,2025-05-26,Kelly Wright,Pass
LAB-01191,CMP-0101,Pharmacokinetic (PK) Study,2.51,hours (t1/2),2024-01-09,Samantha Ward,Pass
LAB-01192,CMP-0049,Cell Viability Assay,24.2,% viability,2023-02-08,Sandra Miller,Pass
LAB-01193,CMP-0089,Selectivity Panel,70.9,% selectivity,2022-12-17,Karen Griffin,Fail
LAB-01194,CMP-0116,Solubility Assay,0.46,mg/mL,2024-03-10,Leah Stone,Pass
LAB-01195,CMP-0103,Enzymatic Inhibition Assay,0.52,nM (IC50),2024-04-16,Jonathan Henderson,Fail
LAB-01196,CMP-0062,Pharmacokinetic (PK) Study,14.4,hours (t1/2),2024-06-21,Katherine Mcpherson,Pass
LAB-01197,CMP-0118,Cell Viability Assay,28.5,% viability,2026-01-02,Cameron Dawson,Fail
LAB-01198,CMP-0120,Binding Affinity (SPR),3.04,nM (Kd),2023-03-25,Sharon Wilson,Pass
LAB-01199,CMP-0035,Solubility Assay,0.79,mg/mL,2023-07-25,Paul Raymond,Pass
LAB-01200,CMP-0126,Selectivity Panel,62.5,% selectivity,2024-03-10,Lindsay Ortiz,Pass
LAB-01201,CMP-0099,Enzymatic Inhibition Assay,26.21,nM (IC50),2023-03-13,Amanda Hernandez,Pass
LAB-01202,CMP-0015,Solubility Assay,0.94,mg/mL,2024-03-13,Elizabeth Tucker PhD,Pass
LAB-01203,CMP-0104,hERG Cardiotoxicity Screen,88.8,% inhibition at 10uM,2023-04-13,Amber Shannon,Pass
LAB-01204,CMP-0056,Selectivity Panel,14.3,% selectivity,2026-04-08,Robert Burns,Pass
LAB-01205,CMP-0101,hERG Cardiotoxicity Screen,94.5,% inhibition at 10uM,2023-03-15,Seth Butler,Pass
LAB-01206,CMP-0078,Selectivity Panel,54.3,% selectivity,2025-01-01,Stephanie Harrington,Fail
LAB-01207,CMP-0089,Pharmacokinetic (PK) Study,1.78,hours (t1/2),2024-08-11,Lisa Gill,Pass
LAB-01208,CMP-0081,Solubility Assay,5.13,mg/mL,2024-09-23,Jerry Cole,Pass
LAB-01209,CMP-0003,hERG Cardiotoxicity Screen,34.1,% inhibition at 10uM,2026-03-05,Robert Beck,Pass
LAB-01210,CMP-0035,Pharmacokinetic (PK) Study,15.68,hours (t1/2),2024-05-08,James Weaver,Fail
LAB-01211,CMP-0026,Pharmacokinetic (PK) Study,6.92,hours (t1/2),2026-07-17,Nancy Brewer,Pass
LAB-01212,CMP-0059,hERG Cardiotoxicity Screen,54.8,% inhibition at 10uM,2026-03-05,Laura Hogan,Pass
LAB-01213,CMP-0116,Selectivity Panel,62.6,% selectivity,2025-07-16,Becky Hansen,Fail
LAB-01214,CMP-0059,Metabolic Stability (Microsomal),77.6,min (t1/2),2023-06-25,Laura Brown,Pass
LAB-01215,CMP-0023,Enzymatic Inhibition Assay,2.72,nM (IC50),2024-12-28,John Prince,Pass
LAB-01216,CMP-0104,Solubility Assay,1.0,mg/mL,2023-03-12,Catherine Smith,Pass
LAB-01217,CMP-0078,Binding Affinity (SPR),0.56,nM (Kd),2025-11-09,Michael Clay,Pass
LAB-01218,CMP-0038,Cell Viability Assay,30.6,% viability,2024-06-27,Lisa Morales,Pass
LAB-01219,CMP-0044,Metabolic Stability (Microsomal),96.5,min (t1/2),2022-11-22,Allison Kim,Fail
LAB-01220,CMP-0054,Selectivity Panel,57.5,% selectivity,2024-05-15,Emily Scott,Pass
LAB-01221,CMP-0039,Pharmacokinetic (PK) Study,20.8,hours (t1/2),2023-03-04,Christopher Thomas,Pass
LAB-01222,CMP-0080,Solubility Assay,0.91,mg/mL,2023-09-26,Eric Russell,Pass
LAB-01223,CMP-0060,Solubility Assay,7.06,mg/mL,2023-05-23,Erika Johnson,Fail
LAB-01224,CMP-0066,Cell Viability Assay,85.0,% viability,2022-12-12,Francisco Gutierrez,Fail
LAB-01225,CMP-0141,Pharmacokinetic (PK) Study,18.73,hours (t1/2),2024-01-04,Ronald Martinez,Fail
LAB-01226,CMP-0123,Enzymatic Inhibition Assay,8.9,nM (IC50),2023-07-10,Laurie Vasquez,Fail
LAB-01227,CMP-0052,Selectivity Panel,46.8,% selectivity,2025-09-20,Brian Brown,Fail
LAB-01228,CMP-0073,Enzymatic Inhibition Assay,1.0,nM (IC50),2024-07-27,John Russell,Pass
LAB-01229,CMP-0011,Metabolic Stability (Microsomal),165.7,min (t1/2),2023-08-25,Debra Richmond,Pass
LAB-01230,CMP-0143,hERG Cardiotoxicity Screen,5.3,% inhibition at 10uM,2025-05-30,Justin Glover,Fail
LAB-01231,CMP-0127,Binding Affinity (SPR),1.48,nM (Kd),2023-12-06,Bradley Fields,Pass
LAB-01232,CMP-0084,Cell Viability Assay,74.0,% viability,2023-07-12,Jacqueline Galloway,Fail
LAB-01233,CMP-0119,Binding Affinity (SPR),0.48,nM (Kd),2025-11-02,Jessica Buck,Pass
LAB-01234,CMP-0048,Cell Viability Assay,82.1,% viability,2024-07-08,John Calderon,Pass
LAB-01235,CMP-0040,Enzymatic Inhibition Assay,25.62,nM (IC50),2023-11-14,April Mahoney,Pass
LAB-01236,CMP-0088,Metabolic Stability (Microsomal),37.9,min (t1/2),2024-08-21,Sara James,Pass
LAB-01237,CMP-0001,Enzymatic Inhibition Assay,70.54,nM (IC50),2024-02-13,Lauren Dixon,Pass
LAB-01238,CMP-0056,hERG Cardiotoxicity Screen,76.6,% inhibition at 10uM,2022-11-23,Kristine Turner,Pass
LAB-01239,CMP-0011,Cell Viability Assay,46.4,% viability,2024-04-17,Charles Hawkins,Pass
LAB-01240,CMP-0113,Cell Viability Assay,64.0,% viability,2023-10-31,Leroy Bernard,Pass
LAB-01241,CMP-0046,Cell Viability Assay,51.2,% viability,2023-12-26,Grace Green,Fail
